UBIDPTO,REGION,ZONA,OCU,INFORM,SEXO,GEDUC,AEDUC,AEDAD,AEDAD2,WS,LWS,EXP,EXP2
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,66,4356,1563.9137830845618,7.354946793680757,35,1225
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,3,40,1600,242.66007452596617,5.491661593744615,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. NO UNIV.,14,46,2116,140.80536372161887,4.947378537612131,3,9
13,COSTA,URBANA,OCUPADO,FORMAL,FEMENINO,SUP. UNIV.,16,26,676,924.8238974050158,6.82960333820386,0.4,0.16000000000000003
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,26,676,1096.678550675164,7.000041391514506,1.2,1.44
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,16,42,1764,70.40268186080944,4.254231357052186,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. UNIV.,15,23,529,238.61350250945,5.4748450986303165,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,33,1089,233.5121368393396,5.453234053656819,0.7,0.48999999999999994
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SECUNDARIA,11,52,2704,755.596639235639,6.627507687808621,10,100
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. NO UNIV.,14,27,729,68.52323135076875,4.227172831578761,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,16,25,625,253.61075045691746,5.535800613056211,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,1,56,3136,30.28216689136968,3.4105589878109934,8,64
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,32,1024,229.9641945499771,5.437923620934785,2,4
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SUP. NO UNIV.,14,27,729,50.55338310680841,3.9230298691777494,0.5,0.25
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,5,24,576,376.1202388052832,5.929908876326476,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,61,3721,28.15340151775218,3.3376681827298125,0.1,0.010000000000000002
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SUP. UNIV.,14,21,441,305.0655026858882,5.720526516453711,1,1
13,COSTA,URBANA,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,47,2209,495.50370232572413,6.205574825640663,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,44,1936,156.45466592767184,5.052766293432855,0.2,0.04000000000000001
13,COSTA,URBANA,OCUPADO,FORMAL,MASCULINO,SUP. NO UNIV.,14,49,2401,539.3492570417066,6.290363333313688,13,169
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,42,1764,101.60539594077046,4.621096643387366,15,225
13,COSTA,URBANA,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,65,4225,46.909550485300976,3.8482212898024692,2,4
